,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
University of Virginia,24434,24467,24347,24441,24429,24592,24367,24715,24812,24687,24710
Virginia Military Institute,12026,11560,14858,13918,14125,14102,13101,14313,15189,16426,16067
Eastern Washington University,13653,12415,13565,13196,13277,13338,12635,13806,13655,13565,13726
Gonzaga University,10091,10243,10225,14656,14566,14643,14623,14716,16984,16987,16951
Seattle University,-1980,-1980,-1980,-1980,-1980,16334,18452,18530,18545,18614,19842
Washington State University,16206,16162,16513,16312,16654,16570,16455,16170,16481,16716,16706
University of Washington,19369,19441,19563,19289,19373,19578,19657,19649,19755,19761,19815
Marshall University,15441,15478,15361,15518,15418,15523,15558,15427,15692,15746,15708
West Virginia University,15003,16432,16283,16285,16583,16657,16676,16335,16454,16707,16621
Marquette University,13647,13554,13656,13627,13571,13567,13667,13600,13584,15863,15776
University of Wisconsin-Green Bay,14576,14624,14488,14600,15457,15435,15661,15632,15750,15702,15788
"University of Wisconsin, Madison",22418,22506,22523,22453,22537,22347,22648,22595,22635,22770,22533
"University of Wisconsin, Milwaukee",14649,14545,14314,14151,14395,14425,14198,14789,14660,14393,14725
University of Wyoming,16099,16296,16178,15845,16192,16408,15490,16495,16474,16504,16705
Stanford University,28254,28492,29582,30659,30649,30457,29605,29715,28661,28504,28752
Purdue University,19191,19317,19283,18797,18254,18308,19436,19565,19240,19624,19666
Florida Gulf Coast University,-1386,-1386,-1386,-1386,12592,12377,13454,13528,13574,13668,13640
